incident_id,timestamp,network_element,region,raw_log,alarm_type,kpi_summary,packet_loss_percent,latency_ms,call_drop_rate,throughput_mbps,rrc_failure_rate,handover_failure_rate,prb_utilization,sinr_db,fault_category,root_cause,severity,resolution_steps,source_dataset
INC_000001,2024-03-02 22:20:00,eNodeB_9741,Mumbai-West,- 1120266925 2005.07.01 R25-M1-N2-C:J10-U01 2005-07-01-18.15.25.287847 R25-M1-N2-C:J10-U01 RAS KERNEL INFO 1146800 double-hummer alignment exceptions,ECC Memory Correction,"packet_loss=2.17%, latency=130.72ms, call_drop_rate=1.48%, throughput=76.17Mbps, rrc_failure_rate=1.72%, handover_failure_rate=0.57%, prb_utilization=66.47%, sinr=17.94dB",2.17,130.72,1.48,76.17,1.72,0.57,66.47,17.94,Memory/Cache Error,Processor cache parity fault,High,Review ECC counters and node health; escalate if error rate increases,Loghub-BGL
INC_000002,2024-03-06 04:20:00,AMF_5916,Gurugram-Sector-44,BLOCK* NameSystem.delete: blk_3280859030919654043 is added to invalidSet of 10.251.214.130:50010,Missing Block Mapping,"packet_loss=3.63%, latency=62.71ms, call_drop_rate=6.72%, throughput=35.24Mbps, rrc_failure_rate=8.63%, handover_failure_rate=5.84%, prb_utilization=50.11%, sinr=11.7dB",3.63,62.71,6.72,35.24,8.63,5.84,50.11,11.7,Configuration Error,Incorrect or missing network mapping metadata,High,Audit recent configuration changes and rollback if needed,Loghub-HDFS
INC_000003,2024-03-01 08:48:00,gNodeB_2833,Hyderabad-HITEC-City,- 1120259941 2005.07.01 R25-M1-N2-C:J08-U01 2005-07-01-16.19.01.600033 R25-M1-N2-C:J08-U01 RAS KERNEL INFO 1146800 double-hummer alignment exceptions,Memory Parity Alarm,"packet_loss=2.2%, latency=105.66ms, call_drop_rate=4.9%, throughput=41.64Mbps, rrc_failure_rate=3.7%, handover_failure_rate=2.92%, prb_utilization=50.8%, sinr=18.63dB",2.2,105.66,4.9,41.64,3.7,2.92,50.8,18.63,Memory/Cache Error,Correctable memory or cache parity error,High,"Monitor repeated parity errors, check memory diagnostics, and replace memory module if recurring",Loghub-BGL
INC_000004,2024-03-07 16:30:00,gNodeB_7671,Chennai-OMR,Receiving block blk_3598226258881465924 src: /10.251.199.159:41752 dest: /10.251.199.159:50010,Block Transfer Latency,"packet_loss=4.21%, latency=138.93ms, call_drop_rate=5.32%, throughput=28.0Mbps, rrc_failure_rate=4.16%, handover_failure_rate=3.52%, prb_utilization=71.62%, sinr=14.99dB",4.21,138.93,5.32,28.0,4.16,3.52,71.62,14.99,Transport Degradation,Intermittent degradation in node-to-node data path,High,Monitor transfer delay and escalate if degradation persists,Loghub-HDFS
INC_000005,2024-03-03 18:00:00,UPF_9177,Pune-Hinjewadi,BLOCK* NameSystem.delete: blk_-4385347171136037814 is added to invalidSet of 10.251.67.113:50010,Configuration Consistency Alarm,"packet_loss=3.74%, latency=77.99ms, call_drop_rate=4.36%, throughput=11.3Mbps, rrc_failure_rate=6.53%, handover_failure_rate=5.73%, prb_utilization=82.98%, sinr=17.14dB",3.74,77.99,4.36,11.3,6.53,5.73,82.98,17.14,Configuration Error,Incorrect or missing network mapping metadata,High,Check replication policy and restore missing metadata,Loghub-HDFS
INC_000006,2024-03-01 01:11:00,MME_3153,Mumbai-West,- 1118122888 2005.06.06 R25-M1-N8-C:J06-U01 2005-06-06-22.41.28.143013 R25-M1-N8-C:J06-U01 RAS KERNEL INFO generating core.1990,Process Crash,"packet_loss=8.78%, latency=198.14ms, call_drop_rate=5.96%, throughput=51.92Mbps, rrc_failure_rate=5.77%, handover_failure_rate=5.52%, prb_utilization=70.85%, sinr=15.71dB",8.78,198.14,5.96,51.92,5.77,5.52,70.85,15.71,Application Crash,Application process crash generated core dump,High,Restart impacted service and monitor for recurring crash signatures,Loghub-BGL
INC_000007,2024-03-04 15:51:00,eNodeB_4974,Gurugram-Sector-44,KERNTERM 1132111168 2005.11.15 R57-M0-NA-C:J13-U11 2005-11-15-19.19.28.379713 R57-M0-NA-C:J13-U11 RAS KERNEL FATAL rts: kernel terminated for reason 1004,Process Crash,"packet_loss=3.44%, latency=172.99ms, call_drop_rate=7.36%, throughput=21.2Mbps, rrc_failure_rate=7.43%, handover_failure_rate=3.56%, prb_utilization=82.19%, sinr=17.24dB",3.44,172.99,7.36,21.2,7.43,3.56,82.19,17.24,Application Crash,Runtime process failure,High,Check application logs and control stream connectivity,Loghub-BGL
INC_000008,2024-03-01 14:08:00,AMF_2129,Chennai-OMR,KERNSTOR 1118767955 2005.06.14 R11-M1-N6-C:J12-U01 2005-06-14-09.52.35.590523 R11-M1-N6-C:J12-U01 RAS KERNEL FATAL data storage interrupt,Application Core Dump,"packet_loss=4.48%, latency=227.38ms, call_drop_rate=3.92%, throughput=51.3Mbps, rrc_failure_rate=5.43%, handover_failure_rate=1.6%, prb_utilization=71.93%, sinr=12.63dB",4.48,227.38,3.92,51.3,5.43,1.6,71.93,12.63,Application Crash,Runtime process failure,High,"Inspect core dump logs, restart affected process, and validate service health",Loghub-BGL
INC_000009,2024-03-01 03:17:00,AggregationRouter_1793,Gurugram-Sector-44,- 1118765825 2005.06.14 R13-M0-NA-C:J15-U01 2005-06-14-09.17.05.516605 R13-M0-NA-C:J15-U01 RAS KERNEL FATAL instruction address: 0x00004ed8,Control Stream Failure,"packet_loss=7.34%, latency=122.67ms, call_drop_rate=4.58%, throughput=20.59Mbps, rrc_failure_rate=3.61%, handover_failure_rate=5.14%, prb_utilization=58.51%, sinr=18.94dB",7.34,122.67,4.58,20.59,3.61,5.14,58.51,18.94,Application Crash,Control stream failure between node and management process,High,Check application logs and control stream connectivity,Loghub-BGL
INC_000010,2024-03-01 13:24:00,AggregationRouter_3735,Delhi-NCR,- 1120973021 2005.07.09 R04-M1-NB-C:J15-U01 2005-07-09-22.23.41.495412 R04-M1-NB-C:J15-U01 RAS KERNEL INFO generating core.3792,Application Core Dump,"packet_loss=10.76%, latency=92.33ms, call_drop_rate=2.72%, throughput=23.17Mbps, rrc_failure_rate=5.33%, handover_failure_rate=5.65%, prb_utilization=74.71%, sinr=13.52dB",10.76,92.33,2.72,23.17,5.33,5.65,74.71,13.52,Application Crash,Control stream failure between node and management process,High,"Inspect core dump logs, restart affected process, and validate service health",Loghub-BGL
